Tag,Alle Nutzer,18-24,25-34,35-44,45-54,55-64,65+,Alle Nutzer_2
01.08.21,1420,144,177,96,50,45,23,535
02.08.21,2505,253,454,211,142,74,50,1184
03.08.21,2545,279,397,201,127,69,61,1134
04.08.21,2518,306,407,225,120,77,37,1172
05.08.21,2502,243,392,232,140,66,52,1125
06.08.21,2066,214,338,162,77,54,37,882
07.08.21,1284,130,139,84,38,44,22,457
08.08.21,1409,146,196,90,51,22,23,528
09.08.21,2309,256,387,186,131,46,58,1064
10.08.21,2242,251,346,199,100,66,40,1002
11.08.21,2099,236,315,172,89,52,27,891
12.08.21,2110,215,316,152,99,50,34,866
13.08.21,1808,171,259,118,80,51,28,707
14.08.21,1212,107,134,77,58,26,15,417
15.08.21,1393,157,178,98,64,44,17,558
16.08.21,2001,174,312,158,103,62,39,848
17.08.21,2173,204,311,177,97,49,26,864
18.08.21,2233,222,347,174,122,45,32,942
19.08.21,2479,235,390,190,132,48,30,1025
20.08.21,1981,202,314,147,104,45,28,840
21.08.21,1322,121,165,83,53,23,25,470
22.08.21,1396,126,184,101,56,34,31,532
23.08.21,2147,230,367,179,106,49,47,978
24.08.21,2286,207,399,178,118,55,38,995
25.08.21,2570,241,437,202,118,47,40,1085
26.08.21,2472,236,366,214,116,52,40,1024
27.08.21,2003,207,294,137,96,47,36,817
28.08.21,1345,122,164,86,52,23,14,461
29.08.21,1437,132,177,89,58,25,21,502
30.08.21,2141,235,320,192,130,45,40,962
31.08.21,2265,243,376,189,108,52,37,1005
